row=20
col=20
1,3,1
1,12,3
1,16,1
1,17,2
1,19,2
2,1,2
2,3,2
2,4,2
2,8,2
2,9,3
2,11,2
2,12,2
2,16,2
2,17,2
2,19,2
3,4,2
3,5,3
3,6,2
3,7,3
3,10,1
3,11,3
3,12,2
3,13,2
3,15,1
3,20,3
4,1,2
4,5,1
4,7,1
4,11,1
4,12,2
4,13,1
4,17,1
4,19,2
4,20,2
5,1,2
5,2,1
5,7,3
5,9,2
5,10,2
5,14,1
5,16,3
5,17,2
5,20,3
6,1,2
6,2,3
6,3,2
6,4,1
6,7,3
6,8,2
6,9,3
6,12,1
6,15,2
6,17,1
6,18,2
6,19,1
6,20,3
7,8,1
7,9,1
7,10,2
7,11,2
7,12,3
7,15,1
7,17,3
7,18,2
7,20,3
8,3,2
8,4,2
8,5,2
8,7,3
8,8,2
8,11,2
8,12,3
8,13,1
8,15,2
8,18,2
8,20,3
9,2,3
9,4,2
9,8,3
9,11,0
9,12,2
9,13,2
9,15,2
9,16,1
9,18,1
9,20,2
10,2,1
10,4,2
10,12,0
10,14,1
10,15,3
10,16,2
10,17,3
10,20,1
11,1,3
11,3,3
11,6,1
11,7,2
11,10,1
11,11,2
11,16,2
11,20,3
12,1,3
12,3,1
12,6,2
12,8,3
12,9,2
12,10,3
12,11,1
12,12,2
12,13,1
12,14,2
12,16,2
12,19,2
12,20,3
13,1,2
13,3,2
13,5,2
13,6,3
13,10,3
13,20,2
14,1,2
14,3,2
14,5,2
14,7,2
14,9,1
14,10,2
14,12,2
14,14,2
14,16,2
14,19,2
15,1,2
15,3,2
15,5,2
15,6,1
15,8,2
15,9,1
15,11,2
15,12,3
15,13,2
15,14,2
15,15,1
15,16,2
15,17,2
15,18,2
15,19,1
16,2,3
16,3,2
16,4,2
16,6,2
16,7,2
16,9,1
16,11,2
16,13,1
16,15,2
16,17,1
16,18,2
16,19,1
17,1,2
17,5,2
17,6,1
17,7,1
17,8,3
17,15,1
17,16,2
17,17,2
17,19,2
17,20,3
18,4,1
18,6,2
18,7,2
18,9,2
18,10,3
18,12,1
18,13,2
18,14,2
18,18,1
18,19,1
18,20,2
19,4,2
19,5,2
19,6,2
19,7,0
19,8,2
19,12,1
19,13,1
19,14,2
19,20,2
20,1,3
20,3,3
20,4,2
20,5,3
20,6,3
20,7,3
20,8,2
20,9,2
20,10,3
20,11,2
20,12,2
20,13,2
20,14,2
20,15,2
20,16,3
20,19,2
