row=20
col=20
1,1,3
1,4,2
1,7,3
1,8,2
1,9,3
1,10,3
1,11,3
1,17,1
2,3,2
2,4,3
2,8,2
2,10,2
2,12,3
2,14,1
2,17,2
2,19,2
3,1,3
3,4,3
3,5,1
3,6,2
3,7,1
3,9,2
3,10,2
3,11,2
3,12,2
3,14,1
3,15,3
3,16,1
3,18,3
3,19,2
3,20,2
4,1,2
4,2,1
4,3,1
4,7,1
4,12,3
4,17,3
5,4,2
5,5,2
5,6,2
5,7,1
5,8,3
5,9,2
5,11,1
5,15,2
5,17,3
5,18,1
5,19,2
6,2,1
6,6,3
6,8,2
6,11,2
6,14,3
6,15,2
6,16,1
6,20,1
7,2,3
7,5,2
7,8,3
7,12,3
7,17,3
7,18,2
8,1,1
8,5,1
8,11,3
8,12,1
8,15,3
8,17,1
8,20,3
9,2,3
9,3,1
9,4,1
9,6,3
9,8,3
9,12,2
9,15,2
9,16,1
9,20,2
10,4,2
10,5,2
10,9,2
10,12,3
10,13,0
10,14,2
10,15,3
10,16,2
10,18,2
11,1,3
11,2,2
11,4,3
11,5,1
11,15,2
11,18,2
11,19,3
12,1,2
12,6,2
12,7,2
12,9,2
12,10,1
12,13,2
12,14,2
12,16,2
12,17,0
12,18,1
12,19,1
12,20,1
13,2,3
13,4,1
13,6,2
13,9,3
13,11,1
13,12,2
13,13,2
13,15,3
13,17,2
14,1,2
14,2,1
14,3,3
14,6,2
14,7,3
14,11,2
14,12,3
14,13,2
14,14,2
14,17,3
14,18,2
15,4,1
15,7,1
15,8,1
15,9,2
15,13,2
15,14,1
15,17,1
15,20,1
16,1,3
16,2,1
16,5,1
16,6,3
16,10,2
16,14,1
16,16,2
16,17,3
16,18,2
17,1,3
17,3,3
17,5,2
17,7,2
17,8,1
17,13,3
17,16,2
17,17,1
17,18,1
17,20,1
18,1,3
18,2,1
18,3,2
18,4,1
18,6,2
18,8,2
18,9,3
18,10,3
18,11,2
18,12,1
18,16,2
18,17,1
18,19,3
19,1,3
19,9,1
19,13,3
19,14,2
19,16,2
19,18,2
19,19,2
20,11,2
20,12,1
20,13,3
20,20,3
